id,name,scientific_name,continent_of_origin
1,black eyed peas,Vigna unguiculata subsp. unguiculata,Africa
2,carrots,Daucus carota,Asia
3,green pepper,Capsicum annuum,NorthAmerica
4,onion,Allium cepa,Africa
5,peanut butter,,NorthAmerica
6,salt,Sodium chloride,
7,water,Dihydrogen oxide,
14,canned chickpeas,,Asia
15,canola oil,,
16,garlic,Allium sativum,Asia
17,harissa,,Africa
18,leek,Allium ampeloprasum,
19,lemon juice,Citrus limon,
20,rice noodles,,
21,spinach leaves,Spinacia oleracea,
22,tomato paste,,
36,brown rice,Oryza sativa L.,
37,canned coconut milk,,
38,chicken breast,Gallus gallus,
39,chili flakes,Capsicum annuum,
40,coconut oil,,
41,curry powder,,
42,garam masala,,Asia
43,ginger,Zingiber officinale,
44,lemon grass,Collinsonia canadensis,
45,snow peas,Pisum sativum,
46,canned tomatoes,,
47,coriander seeds,Coriandrum sativum,
48,cumin seeds,Cuminum cyminum,
49,filtered water,Dihydrogen oxide,
50,fresh ginger,Zingiber officinale,
51,garlic cloves,Allium sativum,
52,grapeseed oil,,
53,red lentils,Lens culinaris,
54,sea salt,Sodium chloride,
55,serrano peppers,Capsicum anuum,NorthAmerica
56,turmeric,Curcuma longa L.,
57,vegetable bouillon cube,,
58,white onion,Allium cepa,Africa
59,apple cider,,
60,coconut milk,,
61,goat cheese,,
62,granny smith apples,Malus domestica,
63,leeks,Allium ampeloprasum,
64,vegetable oil,,
65,white mushrooms,Agaricus bisporus,
66,allspice,Pimenta dioica,
67,green bell pepper,Capsicum annuum,NorthAmerica
68,pepper,Capsicum annuum,NorthAmerica
69,scallions,Allium cepa,Africa
70,scotch bonnet pepper,Capsicum chinense,NorthAmerica
71,skinless chicken thighs,Gallus gallus,
72,sweet potatoes,Ipomoea batatas,
73,thyme,Thymus vulgaris,
74,bay leaves,Laurus nobilis,
75,boneless chicken breast,Gallus gallus,
76,butter,,
77,chilli powder,Capsicum annuum,NorthAmerica
78,chillies,Capsicum annuum,NorthAmerica
79,cilantro leaves,Coriandrum sativum,
80,cream,,
81,fennel seeds,Foeniculum vulgare,
82,ketchup,,
83,lime juice,Citrus latifolia,
84,nuts,,
85,red pepper powder,Capsicum annuum,
86,sugar,Sucrose,
87,tomato,Solanum lycopersicum,
88,yogurt,,
89,yellow onions,Allium cepa,Africa
90,red onions,Allium cepa,Africa
